section,variable,documented_unit,documented_meaning,documented_access,semantic,fsgap_classification,fsgap_field_or_gap,audit_note,source
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X R MKP Powered","Bool","Whether the {side} (L/R) multifunction keyboard panel is powered","READ","ACTUAL_SYSTEM_STATE","NOT_RELEVANT","","Keyboard panel power.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X L ADS Reversion","Bool","Whether the left air data source (ADS) reversion pushbutton has been pressed","READ","CONTROL_POSITION","DEFER","","Reversion pushbutton pressed. Not an IRS mode (section 33).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X R ADS Reversion","Bool","Whether the right air data source (ADS) reversion pushbutton has been pressed","READ","CONTROL_POSITION","DEFER","","Reversion pushbutton pressed. Not an IRS mode (section 33).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X L IRS Reversion","Bool","Whether the left inertial reference system (IRS) reversion pushbutton has been pressed","READ","CONTROL_POSITION","DEFER","","Reversion pushbutton pressed. Not an IRS mode (section 33).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X R IRS Reversion","Bool","Whether the right inertial reference system (IRS) reversion pushbutton has been pressed","READ","CONTROL_POSITION","DEFER","","Reversion pushbutton pressed. Not an IRS mode (section 33).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Multifunction Keyboard Panel (MKP) & Reversion Panel","L:A22X Reversion Mode","Enum","The selected display reversion mode: Manual, Auto, or Swap","READ","CONTROL_POSITION","NOT_RELEVANT","","Display reversion selector.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Pedestal Integral Lights","Number","The pedestal integral lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Glareshield Integral Lights","Number","The glareshield integral lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Overhead Integral Lights","Number","The overhead panel integral lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X CB Integral Lights","Number","The circuit breaker panel integral lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Flood Lights","Number","The cockpit flood lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Entrance Lights","Number","The entrance (ceiling/floor) lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X L Reading Lights","Percent over 100","Sets readling lights brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X R Reading Lights","Percent over 100","Sets readling lights brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X L Console Lights","Number","The right console lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X R Console Lights","Number","The right console lighting knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X L Map Lights","Number","The right map light knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X R Map Lights","Number","The right map light knob position","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X L Foot Lights","Bool","Whether the right footwell light switch is on","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X R Foot Lights","Bool","Whether the right footwell light switch is on","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X L Bag Lights","Bool","Whether the right flight bag light switch is on","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X R Bag Lights","Bool","Whether the right flight bag light switch is on","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Lights","L:A22X Dome Lights Annunciator","Bool","Whether the dome lights annunciator is illuminated","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electronic Flight Control System (EFCS) / Sidestick & Pedal Animation","L:A22X L Sidestick X","Number","Lateral (roll) deflection of the left sidestick, driven for 3D model animation","ANIMATION","ANIMATION_ONLY","NOT_RELEVANT","","Documented as animation/model-driven. Never a control surface or an actual position.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electronic Flight Control System (EFCS) / Sidestick & Pedal Animation","L:A22X L Sidestick Y","Number","Longitudinal (pitch) deflection of the left sidestick, driven for 3D model animation","ANIMATION","ANIMATION_ONLY","NOT_RELEVANT","","Documented as animation/model-driven. Never a control surface or an actual position.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electronic Flight Control System (EFCS) / Sidestick & Pedal Animation","L:A22X Rudder Pedals","Number","Rudder pedal deflection, driven for 3D model animation","ANIMATION","ANIMATION_ONLY","NOT_RELEVANT","","Documented as animation/model-driven. Never a control surface or an actual position.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electronic Flight Control System (EFCS) / Motor Control Electronics (MCE) — Horizontal Stabilizer Trim","L:A22X Horizontal Stabilizer","Percent over 100","Horizontal stabilizer trim animation position, as a ratio of the full trim travel range","ANIMATION","ANIMATION_ONLY","NOT_RELEVANT","","Documented as animation/model-driven. Never a control surface or an actual position.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electronic Flight Control System (EFCS) / Pitch/Roll/Rudder/Spoiler Inceptor Transformers (RVDT)","L:A22X Spoiler Lever","Number","Current spoiler/speedbrake lever position (0–1), written for animation","ANIMATION","ANIMATION_ONLY","NOT_RELEVANT","","Documented as animation/model-driven. Never a control surface or an actual position.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FCP Brightness","Percent over 100","Sets FCP brightness, from off (0) to full bright (1)","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FCP Backlight","Percent over 100","FCP backlight brightness, from off (0) to full bright (1)","READ","CONTROL_POSITION","NOT_RELEVANT","","Lighting / display control.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X AP Master","Bool","Whether autopilot master is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X AT Master","Bool","Whether autothrottle master engaged is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG EDM","Bool","Whether emergency descent mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Source","Enum","Current flight guidance source [enum from 0: Left; Right; ]","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Half Bank","Bool","Whether half-bank mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Heading","Bool","Whether heading select mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG LNAV","Bool","Whether navigation mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Approach","Bool","Whether approach mode is armed or engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Flight Level","Bool","Whether flight level change mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Altitude","Bool","Whether altitude hold mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG VNAV","Bool","Whether vertical navigation mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Vertical Speed","Bool","Whether vertical speed mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Flight Path Angle","Bool","Whether flight path angle mode is engaged","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X Selected FPA","Degree","Selected flight path angle target","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X EDM","Bool","Toggles emergency descent mode switch when set","WRITE_ACTION","EVENT","NOT_RELEVANT","","Write action (toggle when set).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Source Transfer","Bool","Toggles guidance source transfer switch when set","WRITE_ACTION","EVENT","NOT_RELEVANT","","Write action (toggle when set).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Speed Mode","Enum","Selected airspeed mode annunciation (enum, e.g. manual/managed/FMS speed)","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Altitude Unit","Number","Selected altitude display unit (enum: feet or meters), read from the panel [enum from 0: FMS; Manual; ]","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG Altitude Fine","Bool","Whether the altitude selector is in fine (vs. coarse) increment mode, read from the panel","READ","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X FG VNAV Toggle","Bool","VNAV mode toggle button state, read from and written to the panel","READ_WRITE","EVENT","NOT_RELEVANT","","Write action (toggle when set).","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X L Flight Director","Bool","Left flight director on/off state, read from and written to the panel","READ_WRITE","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Flight Control Panel","L:A22X R Flight Director","Bool","Right flight director on/off state, read from and written to the panel","READ_WRITE","COMMAND_MODE","APPLICATION_SPECIFIC","","Flight guidance mode engaged / target. No FSGAP contract; a flight-analysis application may want it.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L A1","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L A2","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L A3","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L A4","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L A5","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L B1","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L B2","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L B3","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L B4","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L B5","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L C1","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L C2","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L C4","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L D1","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L D2","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L D3","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
"Electrical System / Circuit Breakers","L:A22X Circuit Breaker L D4","Bool","Pulls cockpit circuit breaker when set","WRITE_ACTION","CONTROL_POSITION","NOT_RELEVANT","","Documented as a write action (pulls when set); read semantics not documented. Section 30: no CB exposure initially.","docs.synapticsim.com/pilots/simvars (github.com/synapticsim/docs @4abccfd, 2026-09-25)"
